id,age,city
1,1,Krasnokamsk
2,2,Ágios Týchon
3,3,Bera
4,4,Salt Lake City
5,5,Dabao’anzhen
6,6,Villefranche-sur-Mer
7,7,Pilang
8,8,Antiguo Cuscatlán
9,9,Nanyang
10,10,Bakıxanov
11,11,Zhongba
12,12,Xin’an
13,13,Yudaikelike
14,14,Vila Boa do Bispo
15,15,Sukadana
16,16,Shymkent
17,17,Maniwaki
18,18,Baylo
19,19,Yinzhu
20,20,Batroûn
21,21,Vrdy
22,22,Danja
23,23,Rozivka
24,24,Ilagan
25,25,Sali
26,26,Cartago
27,27,Kunčice pod Ondřejníkem
28,28,Sanjō
29,29,Henggang
30,30,Teluksantong
31,31,Sillon
32,32,Skulsk
33,33,Wenwusha
34,34,Kozje
35,35,Gonzalo
36,36,Nancy
37,37,Ladner
38,38,San Miguel
39,39,Qibu
40,40,Lusong
41,41,Limoeiro do Norte
42,42,Dame-Marie
43,43,Quipot
44,44,Koh Kong
45,45,Lopatinskiy
46,46,Ujmisht
47,47,Kodamachō-kodamaminami
48,48,Longueuil
49,49,Abraham’s Bay
50,50,Tingloy
51,51,Qīr Moāv
52,52,Leyuan
53,53,Timiryazevo
54,54,Kondrovo
55,55,Ust’-Omchug
56,56,Hengli
57,57,Masipi West
58,58,Mira
59,59,Katrineholm
60,60,Morawica
61,61,Lungmar
62,62,Nawá
63,63,Cool űrhajó
64,64,Saraqinishtë
65,65,Moscow
66,66,Boroon
67,67,Kadugadung
68,68,Miliangju
69,69,Zhichanghe
70,70,Monção
71,71,Ketawang
72,72,La Foa
73,73,Tubod
74,74,Erdenet
75,75,Pechenizhyn
76,76,Rungis
77,77,Taling Chan
78,78,Zhaolingpu
79,79,Šventoji
80,80,Erdao
81,81,Wenquan
82,82,Ryjewo
83,83,San Antonio
84,84,Ticrapo
85,85,Celendín
86,86,Targuist
87,87,Ungsang
88,88,Alimono
89,89,Chantepie
90,90,Bang Krathum
91,91,Lyntupy
92,92,Maclear
93,93,Zator
94,94,Panineungan
95,95,Kenzhe
96,96,Shangtang
97,97,Aniva
98,98,Yanac
99,99,Date
100,100,Wageningen
