id,age,city
1,1,Leran Kulon
2,2,Lorut
3,3,Laya
4,4,Binabaan
5,5,La Motte-Servolex
6,6,Morocelí
7,7,Kavajë
8,8,Sokolac
9,9,Asan
10,10,Beizhouzi
11,11,Huaccana
12,12,Gan Yavne
13,13,Wangpu
14,14,Dobra
15,15,Morrelgonj
16,16,Lau
17,17,Carvalhos
18,18,Primorka
19,19,Kalibuntu
20,20,Elefsína
21,21,Konotop
22,22,Dayu
23,23,Byahoml’
24,24,Hidalgo
25,25,Nanqiu
26,26,Ranao
27,27,Rondonópolis
28,28,Balangkayan
29,29,Herálec
30,30,Byahoml’
31,31,Ivanovka
32,32,Villa Elisa
33,33,Sempol
34,34,Guéret
35,35,Yaoundé
36,36,Saint-Claude
37,37,Velikooktyabr’skiy
38,38,Petani
39,39,Cantuk Kidul
40,40,Floriano
41,41,Myasnikyan
42,42,Frederiksberg
43,43,Leme
44,44,Gubskaya
45,45,Roissy Charles-de-Gaulle
46,46,Machikou
47,47,Toulouse
48,48,Старо Нагоричане
49,49,Senglea
50,50,Donomulyo
51,51,Kastélli
52,52,Peremyshl’
53,53,Qiancheng
54,54,Pappádos
55,55,Gameleira
56,56,Ruilin
57,57,Amman
58,58,Limbaan
59,59,Nikolayevskaya
60,60,Stockholm
61,61,Zbąszyń
62,62,Phra Phrom
63,63,Lianyuan
64,64,Älvängen
65,65,Daqiao
66,66,Paris 18
67,67,Město
68,68,Fuli
69,69,Wahai
70,70,Ngembak
71,71,Hrastnik
72,72,Bayan
73,73,Logan Lake
74,74,Caherconlish
75,75,Hepingyizu
76,76,Dalai
77,77,Tuapse
78,78,Sahline
79,79,Zarya
80,80,Suren
81,81,Korisós
82,82,Driefontein
83,83,Leones
84,84,Lhoknga
85,85,Quinjalca
86,86,Larvik
87,87,Kunčice pod Ondřejníkem
88,88,Los Andes
89,89,Borås
90,90,Nakło nad Notecią
91,91,Blama
92,92,Nyala
93,93,Xinxu
94,94,Quinuabamba
95,95,Kasturi
96,96,Kaiyuan
97,97,Molodohvardiys’k
98,98,Belo Oriente
99,99,Ampera
100,100,Gongping
101,101,Chixi
102,102,Kuantan
103,103,Huzhuang
104,104,Ocampo
105,105,Bantu
106,106,Núi Sập
107,107,Kambove
108,108,Vřesina
109,109,Villejuif
110,110,Parang
111,111,San Benito Abad
112,112,Penedo
113,113,La Sebala du Mornag
114,114,Ozubulu
115,115,Sargatskoye
116,116,Horka nad Moravou
117,117,Xingang
118,118,Bazzāryah
119,119,Nglorogan
120,120,København
121,121,Lagoa de Albufeira
122,122,Tosu
123,123,Mangochi
124,124,Sumoto
125,125,Santa Maria
126,126,Zhovkva
127,127,San Jose
128,128,Lhabupu
129,129,São José do Rio Preto
130,130,Plasy
131,131,Bucay
132,132,Qingtang
133,133,Mutang
134,134,Krajan
135,135,Tsuyama
136,136,Makedonski Brod
137,137,Saint-Chamond
138,138,Zarya
139,139,Santa Rosa
140,140,Lafiagi
141,141,Ciudad Ojeda
142,142,Zaïo
143,143,Göteborg
144,144,Nagua
145,145,Taoyuan
146,146,Clarence-Rockland
147,147,Rialma
148,148,Sabanalarga
149,149,Kyriáki
150,150,Gazli
151,151,Machalí
152,152,Segezha
153,153,Viedma
154,154,Torres
155,155,Aguas Verdes
156,156,Uście Gorlickie
157,157,Sleman
158,158,Rimpeso
159,159,Natakoli
160,160,Bobigny
161,161,Nanyaojie
162,162,Raciążek
163,163,Umeå
164,164,La Soledad
165,165,Haysyn
166,166,Xiangyanglu
167,167,Ozimek
168,168,Bayuwan
169,169,Gobernador Costa
170,170,Coripata
171,171,Dananshan
172,172,Daohe
173,173,Kumba
174,174,Morelos
175,175,São Jerônimo
176,176,Pärnu
177,177,Lianshi
178,178,Koktokay
179,179,Phú Khương
180,180,Haparanda
181,181,Tarangnan
182,182,Guangshan
183,183,Baoyang
184,184,Camino Real
185,185,El Ksour
186,186,Muzhijie
187,187,Cincinnati
188,188,Gobang
189,189,Ghauspur
190,190,Datang
191,191,Zárkos
192,192,Lyon
193,193,Hovd
194,194,Tbilisskaya
195,195,Biankouma
196,196,Baturité
197,197,La Ceja
198,198,Göteborg
199,199,Stuttgart
200,200,Newton
201,201,Napel
202,202,Tshikapa
203,203,Fuyang
204,204,Llano Largo
205,205,Tisma
206,206,Nol
207,207,Kafue
208,208,Nevers
209,209,La Paz
210,210,Huapi
211,211,Kaabong
212,212,Orange
213,213,Kakamega
214,214,Lysá nad Labem
215,215,Portel
216,216,Shiqiao
217,217,Lanas
218,218,Mircze
219,219,Icó
220,220,Meniko
221,221,Nabunturan
222,222,Pajić Polje
223,223,Chiang Rai
224,224,Kiten
225,225,Chengdong
226,226,Orlovskiy
227,227,Niamey
228,228,Dziemiany
229,229,Manhuaçu
230,230,Bangjun
231,231,Zhouzai
232,232,Palotina
233,233,Srednebelaya
234,234,Mullagh
235,235,Manokwari
236,236,Sanshengyuan
237,237,Dalang
238,238,Boto
239,239,Katoro
240,240,Skutskär
241,241,Baitu
242,242,San Juan
243,243,Mīr Bachah Kōṯ
244,244,Naudero
245,245,Värnamo
246,246,Misheronskiy
247,247,Åstorp
248,248,Dongshandi
249,249,Nginjen
250,250,Hokor
251,251,Parigi
252,252,Noramarg
253,253,Mojkovac
254,254,Timur
255,255,Medang
256,256,La Paz
257,257,Sabon Gari-Nangere
258,258,Lerrnanist
259,259,Krupka
260,260,Luzern
261,261,Tarbes
262,262,Pingle
263,263,El Rosario
264,264,Zhongbao
265,265,Saurama
266,266,Zhongtong
267,267,Tân Việt
268,268,Cincinnati
269,269,Shāhpur Chākar
270,270,Tartu
271,271,Rizal
272,272,Xinghai
273,273,Binguang
274,274,Zhonghe
275,275,Kaniv
276,276,Zboriv
277,277,Shanjiao
278,278,Crespo
279,279,Same
280,280,Duas Igrejas
281,281,Zbąszyń
282,282,"Brgy. Nalook, kalibo"
283,283,Nizhniy Novgorod
284,284,Calvos
